num_features,columns,accuracy,metric,C,kernel,degree,gamma
4,"[100, 102, 103, 105]",0.635,7400,10.0,poly,4,auto
4,"[100, 102, 103, 105]",0.639,7400,0.1,poly,4,scale
4,"[100, 102, 103, 105]",0.639,7400,0.1,poly,4,auto
4,"[100, 102, 103, 105]",0.635,7400,10.0,poly,4,scale
4,"[100, 102, 103, 105]",0.636,7350,1.0,poly,4,scale
4,"[100, 102, 103, 105]",0.636,7350,1.0,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.672,7300,0.01,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.672,7300,0.01,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.491,7250,0.001,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.491,7250,0.001,rbf,3,scale
4,"[100, 102, 103, 105]",0.66,7250,1.0,rbf,3,scale
4,"[100, 102, 103, 105]",0.66,7250,1.0,rbf,3,auto
4,"[100, 102, 103, 105]",0.541,7250,0.001,poly,2,auto
4,"[100, 102, 103, 105]",0.541,7250,0.001,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.671,7250,0.01,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.671,7250,0.01,poly,2,scale
3,"[100, 102, 105]",0.615,7200,10.0,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.667,7200,0.1,poly,2,scale
3,"[100, 102, 105]",0.615,7200,10.0,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.667,7200,0.1,poly,2,auto
4,"[100, 102, 103, 105]",0.644,7200,0.01,poly,4,scale
3,"[100, 102, 105]",0.615,7200,1.0,poly,4,auto
3,"[100, 102, 105]",0.615,7200,1.0,poly,4,scale
4,"[100, 102, 103, 105]",0.644,7200,0.01,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.676,7150,0.01,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.669,7150,0.001,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.669,7150,0.001,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.669,7150,0.1,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.669,7150,0.1,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.676,7150,0.01,poly,4,auto
3,"[100, 102, 105]",0.617,7150,0.1,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.665,7150,10.0,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.67,7150,1.0,poly,2,auto
4,"[100, 102, 103, 105]",0.648,7150,0.001,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.665,7150,10.0,poly,2,scale
3,"[100, 102, 105]",0.617,7150,0.1,poly,4,scale
4,"[100, 102, 103, 105]",0.648,7150,0.001,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.67,7150,1.0,poly,2,scale
3,"[100, 102, 105]",0.621,7100,0.01,poly,4,auto
3,"[100, 102, 105]",0.624,7100,0.1,rbf,3,auto
3,"[100, 102, 105]",0.621,7100,0.01,poly,4,scale
4,"[100, 102, 103, 105]",0.644,7100,0.1,rbf,3,scale
4,"[100, 102, 103, 105]",0.644,7100,0.1,rbf,3,auto
4,"[100, 102, 103, 105]",0.655,7100,1.0,poly,2,scale
3,"[100, 102, 105]",0.624,7100,0.1,rbf,3,scale
4,"[100, 102, 103, 105]",0.656,7100,10.0,poly,2,auto
4,"[100, 102, 103, 105]",0.655,7100,1.0,poly,2,auto
4,"[100, 102, 103, 105]",0.656,7100,10.0,poly,2,scale
3,"[100, 102, 105]",0.491,7100,0.001,rbf,3,auto
3,"[100, 102, 105]",0.491,7100,0.001,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.493,7050,0.001,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.493,7050,0.001,poly,2,auto
4,"[100, 102, 103, 105]",0.651,7050,0.1,poly,2,scale
4,"[100, 102, 103, 105]",0.651,7050,0.1,poly,2,auto
4,"[100, 102, 103, 105]",0.654,7050,0.01,poly,2,scale
4,"[100, 102, 103, 105]",0.654,7050,0.01,poly,2,auto
3,"[100, 102, 105]",0.625,7050,0.01,rbf,3,auto
3,"[100, 102, 105]",0.625,7050,0.01,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.65,7050,0.1,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.65,7050,0.1,poly,4,auto
3,"[100, 102, 105]",0.638,7000,10.0,poly,2,scale
3,"[100, 102, 105]",0.636,7000,0.1,poly,2,auto
3,"[100, 102, 105]",0.622,7000,0.001,poly,4,scale
3,"[100, 102, 105]",0.622,7000,0.001,poly,4,auto
3,"[100, 102, 105]",0.637,7000,1.0,poly,2,scale
3,"[100, 102, 105]",0.637,7000,1.0,poly,2,auto
3,"[100, 102, 105]",0.627,7000,1.0,rbf,3,scale
3,"[100, 102, 105]",0.627,7000,1.0,rbf,3,auto
3,"[100, 102, 105]",0.636,7000,0.1,poly,2,scale
3,"[100, 102, 105]",0.638,7000,10.0,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.666,6950,10.0,rbf,3,auto
3,"[100, 102, 105]",0.637,6950,0.01,poly,2,auto
3,"[100, 102, 105]",0.637,6950,0.01,poly,2,scale
4,"[100, 102, 103, 105]",0.649,6950,0.01,rbf,3,auto
4,"[100, 102, 103, 105]",0.649,6950,0.01,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.666,6950,10.0,rbf,3,scale
3,"[100, 102, 105]",0.622,6900,0.001,poly,2,auto
4,"[100, 102, 103, 105]",0.491,6900,0.001,rbf,3,auto
3,"[100, 102, 105]",0.622,6900,0.001,poly,2,scale
4,"[100, 102, 103, 105]",0.491,6900,0.001,rbf,3,scale
4,"[100, 102, 103, 105]",0.648,6900,10.0,rbf,3,scale
4,"[100, 102, 103, 105]",0.648,6900,10.0,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.641,6850,1.0,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.659,6850,1.0,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.659,6850,1.0,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.641,6850,1.0,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.644,6850,10.0,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.644,6850,10.0,poly,4,scale
3,"[100, 102, 105]",0.623,6650,10.0,rbf,3,scale
3,"[100, 102, 105]",0.623,6650,10.0,rbf,3,auto
2,"[100, 102]",0.491,6650,0.001,rbf,3,auto
2,"[100, 102]",0.491,6650,0.001,rbf,3,scale
2,"[100, 102]",0.584,6600,10.0,poly,2,scale
2,"[100, 102]",0.583,6600,1.0,poly,2,scale
2,"[100, 102]",0.584,6600,10.0,poly,2,auto
2,"[100, 102]",0.583,6600,1.0,poly,2,auto
2,"[100, 102]",0.571,6600,0.01,rbf,3,scale
2,"[100, 102]",0.571,6600,0.01,rbf,3,auto
2,"[100, 102]",0.585,6600,0.01,poly,2,auto
2,"[100, 102]",0.585,6600,0.01,poly,2,scale
2,"[100, 102]",0.585,6600,0.1,poly,2,scale
2,"[100, 102]",0.585,6600,0.1,poly,2,auto
2,"[100, 102]",0.567,6550,10.0,poly,4,scale
2,"[100, 102]",0.575,6550,0.001,poly,4,scale
2,"[100, 102]",0.567,6550,10.0,poly,4,auto
2,"[100, 102]",0.577,6550,1.0,rbf,3,scale
2,"[100, 102]",0.567,6550,1.0,poly,4,scale
2,"[100, 102]",0.575,6550,0.001,poly,4,auto
2,"[100, 102]",0.569,6550,0.1,poly,4,scale
2,"[100, 102]",0.577,6550,1.0,rbf,3,auto
2,"[100, 102]",0.569,6550,0.1,poly,4,auto
2,"[100, 102]",0.567,6550,1.0,poly,4,auto
2,"[100, 102]",0.579,6500,0.1,rbf,3,auto
2,"[100, 102]",0.579,6500,0.1,rbf,3,scale
2,"[100, 102]",0.568,6500,0.01,poly,4,auto
2,"[100, 102]",0.568,6500,0.01,poly,4,scale
2,"[100, 102]",0.577,6450,10.0,rbf,3,auto
2,"[100, 102]",0.585,6450,0.001,poly,2,scale
2,"[100, 102]",0.577,6450,10.0,rbf,3,scale
2,"[100, 102]",0.585,6450,0.001,poly,2,auto
1,[100],0.548,6050,0.1,poly,2,auto
1,[100],0.541,6050,0.1,rbf,3,scale
1,[100],0.535,6050,0.1,poly,4,auto
1,[100],0.535,6050,0.1,poly,4,scale
1,[100],0.547,6050,0.01,rbf,3,auto
1,[100],0.548,6050,0.1,poly,2,scale
1,[100],0.547,6050,1.0,poly,2,scale
1,[100],0.547,6050,0.01,rbf,3,scale
1,[100],0.536,6050,0.001,poly,4,scale
1,[100],0.535,6050,10.0,poly,4,auto
1,[100],0.535,6050,10.0,poly,4,scale
1,[100],0.545,6050,0.001,poly,2,scale
1,[100],0.545,6050,0.001,poly,2,auto
1,[100],0.547,6050,10.0,poly,2,auto
1,[100],0.547,6050,10.0,poly,2,scale
1,[100],0.536,6050,0.001,poly,4,auto
1,[100],0.536,6050,0.01,poly,4,auto
1,[100],0.544,6050,0.01,poly,2,scale
1,[100],0.541,6050,0.1,rbf,3,auto
1,[100],0.536,6050,0.01,poly,4,scale
1,[100],0.535,6050,1.0,poly,4,auto
1,[100],0.535,6050,1.0,poly,4,scale
1,[100],0.547,6050,1.0,poly,2,auto
1,[100],0.544,6050,0.01,poly,2,auto
1,[100],0.539,6000,10.0,rbf,3,auto
1,[100],0.54,6000,1.0,rbf,3,scale
1,[100],0.54,6000,1.0,rbf,3,auto
1,[100],0.539,6000,10.0,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.57,5950,10.0,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.57,5950,10.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.57,5850,1.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.57,5850,1.0,poly,3,scale
4,"[100, 102, 103, 105]",0.545,5700,1.0,poly,3,auto
4,"[100, 102, 103, 105]",0.545,5700,1.0,poly,3,scale
4,"[100, 102, 103, 105]",0.545,5550,0.1,sigmoid,3,auto
2,"[100, 102]",0.534,5550,0.1,sigmoid,3,scale
2,"[100, 102]",0.534,5550,0.1,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.545,5550,0.1,sigmoid,3,scale
2,"[100, 102]",0.531,5550,10.0,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.544,5550,10.0,sigmoid,3,scale
2,"[100, 102]",0.531,5550,10.0,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.544,5550,10.0,sigmoid,3,auto
2,"[100, 102]",0.527,5300,1.0,sigmoid,3,auto
2,"[100, 102]",0.527,5300,1.0,sigmoid,3,scale
3,"[100, 102, 105]",0.528,5150,0.1,sigmoid,3,auto
3,"[100, 102, 105]",0.528,5150,0.1,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.542,5100,10.0,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.551,5100,0.01,poly,5,auto
4,"[100, 102, 103, 105]",0.542,5100,10.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.551,5100,0.01,poly,5,scale
4,"[100, 102, 103, 105]",0.543,5050,0.1,poly,3,scale
4,"[100, 102, 103, 105]",0.543,5050,0.1,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.557,5000,0.1,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.557,5000,0.1,poly,3,scale
3,"[100, 102, 105]",0.523,4950,0.1,poly,3,auto
3,"[100, 102, 105]",0.523,4950,10.0,poly,3,scale
3,"[100, 102, 105]",0.523,4950,10.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.518,4950,0.1,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.518,4950,0.1,sigmoid,3,auto
3,"[100, 102, 105]",0.523,4950,0.1,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.506,4850,1.0,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.506,4850,1.0,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.507,4850,0.1,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.507,4850,0.1,linear,3,scale
4,"[100, 102, 103, 105]",0.531,4800,0.01,poly,3,auto
4,"[100, 102, 103, 105]",0.518,4800,10.0,linear,3,auto
4,"[100, 102, 103, 105]",0.531,4800,0.01,poly,3,scale
3,"[100, 102, 105]",0.524,4800,1.0,poly,3,scale
3,"[100, 102, 105]",0.524,4800,1.0,poly,3,auto
4,"[100, 102, 103, 105]",0.518,4800,10.0,linear,3,scale
2,"[100, 102]",0.506,4750,0.001,poly,5,auto
2,"[100, 102]",0.506,4750,0.001,poly,5,scale
4,"[100, 102, 103, 105]",0.527,4750,1.0,poly,5,auto
4,"[100, 102, 103, 105]",0.527,4750,1.0,poly,5,scale
4,"[100, 102, 103, 105]",0.518,4700,1.0,linear,3,auto
4,"[100, 102, 103, 105]",0.518,4700,1.0,linear,3,scale
4,"[100, 102, 103, 105]",0.528,4700,0.1,poly,5,scale
4,"[100, 102, 103, 105]",0.528,4700,0.1,poly,5,auto
1,[100],0.491,4700,0.001,linear,3,scale
1,[100],0.491,4700,1.0,poly,5,scale
1,[100],0.491,4700,0.01,poly,5,auto
1,[100],0.491,4700,0.1,poly,5,scale
1,[100],0.491,4700,0.1,poly,3,auto
1,[100],0.491,4700,0.1,poly,3,scale
2,"[100, 102]",0.505,4700,0.01,poly,5,scale
2,"[100, 102]",0.505,4700,0.01,poly,5,auto
1,[100],0.491,4700,0.1,linear,3,auto
1,[100],0.491,4700,0.1,linear,3,scale
2,"[100, 102]",0.505,4700,0.1,poly,5,scale
1,[100],0.491,4700,0.01,poly,5,scale
2,"[100, 102]",0.505,4700,0.1,poly,5,auto
2,"[100, 102]",0.505,4700,10.0,poly,5,auto
2,"[100, 102]",0.498,4700,1.0,poly,3,scale
2,"[100, 102]",0.498,4700,1.0,poly,3,auto
2,"[100, 102]",0.505,4700,1.0,poly,5,scale
2,"[100, 102]",0.505,4700,1.0,poly,5,auto
1,[100],0.491,4700,1.0,poly,5,auto
2,"[100, 102]",0.498,4700,10.0,poly,3,scale
2,"[100, 102]",0.498,4700,10.0,poly,3,auto
1,[100],0.491,4700,0.01,sigmoid,3,scale
1,[100],0.491,4700,0.01,sigmoid,3,auto
1,[100],0.491,4700,0.1,poly,5,auto
1,[100],0.491,4700,0.01,poly,3,auto
1,[100],0.491,4700,0.01,poly,3,scale
1,[100],0.491,4700,0.01,linear,3,auto
1,[100],0.491,4700,1.0,poly,3,auto
1,[100],0.491,4700,10.0,linear,3,scale
1,[100],0.491,4700,0.001,poly,3,scale
1,[100],0.491,4700,0.001,poly,3,auto
1,[100],0.491,4700,0.001,poly,5,scale
1,[100],0.491,4700,0.001,poly,5,auto
1,[100],0.491,4700,0.001,rbf,3,scale
1,[100],0.491,4700,10.0,linear,3,auto
1,[100],0.491,4700,10.0,poly,3,scale
1,[100],0.491,4700,0.001,rbf,3,auto
1,[100],0.491,4700,0.001,sigmoid,3,scale
1,[100],0.491,4700,0.001,sigmoid,3,auto
1,[100],0.491,4700,10.0,poly,3,auto
1,[100],0.491,4700,1.0,poly,3,scale
1,[100],0.491,4700,1.0,linear,3,auto
1,[100],0.491,4700,10.0,poly,5,scale
1,[100],0.491,4700,0.001,linear,3,auto
1,[100],0.491,4700,10.0,poly,5,auto
1,[100],0.491,4700,1.0,linear,3,scale
1,[100],0.491,4700,0.01,linear,3,scale
2,"[100, 102]",0.505,4700,10.0,poly,5,scale
4,"[100, 102, 103, 105]",0.527,4650,10.0,poly,5,auto
4,"[100, 102, 103, 105]",0.527,4650,10.0,poly,5,scale
2,"[100, 102]",0.497,4600,0.1,poly,3,auto
2,"[100, 102]",0.497,4600,0.1,poly,3,scale
1,[100],0.482,4600,0.1,sigmoid,3,scale
1,[100],0.483,4600,10.0,sigmoid,3,auto
1,[100],0.483,4600,1.0,sigmoid,3,scale
1,[100],0.483,4600,1.0,sigmoid,3,auto
1,[100],0.483,4600,10.0,sigmoid,3,scale
1,[100],0.482,4600,0.1,sigmoid,3,auto
2,"[100, 102]",0.491,4600,0.1,linear,3,scale
2,"[100, 102]",0.491,4600,0.1,linear,3,auto
4,"[100, 102, 103, 105]",0.52,4600,0.001,poly,5,auto
4,"[100, 102, 103, 105]",0.52,4600,0.001,poly,5,scale
2,"[100, 102]",0.496,4550,0.001,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.505,4550,0.01,linear,3,scale
2,"[100, 102]",0.496,4550,0.001,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.505,4550,0.01,linear,3,auto
4,"[100, 102, 103, 105]",0.516,4550,0.1,linear,3,scale
4,"[100, 102, 103, 105]",0.516,4550,0.1,linear,3,auto
3,"[100, 102, 105]",0.516,4550,0.001,poly,5,auto
3,"[100, 102, 105]",0.516,4550,0.001,poly,5,scale
2,"[100, 102]",0.491,4500,0.001,sigmoid,3,scale
3,"[100, 102, 105]",0.507,4500,10.0,sigmoid,3,auto
3,"[100, 102, 105]",0.507,4500,10.0,sigmoid,3,scale
3,"[100, 102, 105]",0.513,4500,1.0,sigmoid,3,scale
3,"[100, 102, 105]",0.513,4500,1.0,sigmoid,3,auto
2,"[100, 102]",0.491,4500,0.001,linear,3,scale
2,"[100, 102]",0.491,4500,0.001,linear,3,auto
2,"[100, 102]",0.491,4500,0.001,sigmoid,3,auto
2,"[100, 102]",0.491,4500,10.0,linear,3,scale
2,"[100, 102]",0.491,4500,0.01,sigmoid,3,auto
2,"[100, 102]",0.491,4500,0.01,sigmoid,3,scale
2,"[100, 102]",0.491,4500,10.0,linear,3,auto
2,"[100, 102]",0.491,4500,1.0,linear,3,auto
2,"[100, 102]",0.491,4500,1.0,linear,3,scale
2,"[100, 102]",0.492,4500,0.01,poly,3,scale
2,"[100, 102]",0.492,4500,0.01,poly,3,auto
4,"[100, 102, 103, 105]",0.533,4500,0.01,poly,5,auto
4,"[100, 102, 103, 105]",0.533,4500,0.01,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.507,4450,10.0,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.507,4450,10.0,linear,3,scale
4,"[100, 102, 103, 105]",0.491,4350,0.01,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.491,4350,0.01,sigmoid,3,scale
3,"[100, 102, 105]",0.508,4350,0.01,poly,3,scale
2,"[100, 102]",0.492,4350,0.01,linear,3,scale
3,"[100, 102, 105]",0.508,4350,0.01,poly,3,auto
2,"[100, 102]",0.492,4350,0.01,linear,3,auto
3,"[100, 102, 105]",0.491,4300,0.001,linear,3,auto
3,"[100, 102, 105]",0.515,4300,0.01,poly,5,scale
3,"[100, 102, 105]",0.516,4300,0.1,poly,5,scale
4,"[100, 102, 103, 105]",0.501,4300,0.01,linear,3,scale
3,"[100, 102, 105]",0.515,4300,0.01,poly,5,auto
3,"[100, 102, 105]",0.516,4300,0.1,poly,5,auto
3,"[100, 102, 105]",0.492,4300,0.01,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.501,4300,0.01,linear,3,auto
3,"[100, 102, 105]",0.492,4300,0.01,sigmoid,3,auto
3,"[100, 102, 105]",0.491,4300,0.001,sigmoid,3,auto
3,"[100, 102, 105]",0.491,4300,0.001,sigmoid,3,scale
3,"[100, 102, 105]",0.491,4300,0.001,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.522,4250,0.1,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.522,4250,0.1,poly,5,auto
3,"[100, 102, 105]",0.491,4250,10.0,linear,3,auto
3,"[100, 102, 105]",0.49,4250,0.01,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.516,4250,0.01,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.516,4250,0.01,poly,3,scale
3,"[100, 102, 105]",0.49,4250,0.01,linear,3,scale
3,"[100, 102, 105]",0.493,4250,0.001,poly,3,auto
3,"[100, 102, 105]",0.493,4250,0.001,poly,3,scale
4,"[100, 102, 103, 105]",0.502,4250,1.0,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.502,4250,1.0,sigmoid,3,auto
3,"[100, 102, 105]",0.491,4250,10.0,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.515,4200,1.0,sigmoid,3,auto
3,"[100, 102, 105]",0.491,4200,1.0,linear,3,auto
3,"[100, 102, 105]",0.491,4200,1.0,linear,3,scale
3,"[100, 102, 105]",0.513,4200,10.0,poly,5,auto
3,"[100, 102, 105]",0.513,4200,10.0,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.515,4200,1.0,sigmoid,3,scale
3,"[100, 102, 105]",0.491,4150,0.1,linear,3,scale
3,"[100, 102, 105]",0.514,4150,1.0,poly,5,scale
3,"[100, 102, 105]",0.514,4150,1.0,poly,5,auto
3,"[100, 102, 105]",0.491,4150,0.1,linear,3,auto
4,"[100, 102, 103, 105]",0.491,4100,0.001,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.491,4100,0.001,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.491,4100,10.0,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.491,4100,0.001,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.491,4100,10.0,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.491,4100,0.001,sigmoid,3,auto
5,"[100, 102, 103, 104, 105]",0.511,4000,10.0,poly,5,scale
4,"[100, 102, 103, 105]",0.49,4000,0.001,poly,3,auto
4,"[100, 102, 103, 105]",0.49,4000,0.001,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.511,4000,10.0,poly,5,auto
5,"[100, 102, 103, 104, 105]",0.491,3950,0.01,sigmoid,3,auto
5,"[100, 102, 103, 104, 105]",0.491,3950,0.01,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.496,3950,0.001,poly,5,auto
5,"[100, 102, 103, 104, 105]",0.496,3950,0.001,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.491,3900,0.001,sigmoid,3,auto
5,"[100, 102, 103, 104, 105]",0.491,3900,0.001,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.491,3900,0.001,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.491,3900,0.001,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.491,3900,0.001,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.491,3900,0.001,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.513,3850,1.0,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.513,3850,1.0,poly,5,auto
