model,iterations,depth,learning_rate,subsample,colsample_bylevel,min_data_in_leaf,test_score,cv_1,cv_2,cv_3,cv_4,cv_mean,cv_std,columns
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0B9D0>,1000,3,0.0870602087830485,0.8408205087604007,0.2517221551443623,2,1330.0,1390.0,1250.0,1360.0,1370.0,1342.5,54.48623679425842,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0C1C0>,1000,4,0.0040596116104843,0.548518610050626,0.4603477677100099,3,1300.0,1360.0,1290.0,1380.0,1400.0,1357.5,41.4578098794425,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC34FD0>,1000,6,0.001901024531987,0.3275374161084572,0.3980437511290071,5,1280.0,1360.0,1300.0,1370.0,1400.0,1357.5,36.31459761583488,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0B730>,1000,7,0.0025081156860452,0.538522716492931,0.6127938404189404,1,1280.0,1370.0,1320.0,1380.0,1460.0,1382.5,50.18714974971183,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0213C1C0>,1000,6,0.0021930485556643,0.1117990133360155,0.9514412603906666,10,1290.0,1370.0,1300.0,1390.0,1420.0,1370.0,44.15880433163923,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC37FA0>,1000,7,0.0040665633135147,0.1427885083060646,0.700021375186549,5,1290.0,1350.0,1290.0,1350.0,1410.0,1350.0,42.42640687119285,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC37FA0>,1000,3,0.0097803370166594,0.0826690950594574,0.9138543819748428,3,1310.0,1410.0,1300.0,1330.0,1400.0,1360.0,46.36809247747852,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0213C730>,1000,6,0.0042016720543725,0.5440646201189203,0.5693747653761156,2,1300.0,1350.0,1300.0,1390.0,1410.0,1362.5,42.0565096031518,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019DABF0>,1000,8,0.0251044100425046,0.3534882695988889,0.0670637818340785,7,1290.0,1370.0,1270.0,1310.0,1370.0,1330.0,42.42640687119285,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A44610>,1000,8,0.0010744583847151,0.3590919980727205,0.949613782570642,10,1270.0,1340.0,1330.0,1370.0,1420.0,1365.0,35.0,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A445E0>,1000,7,0.0025034664443563,0.6486629925156606,0.7926738453402062,10,1290.0,1350.0,1330.0,1390.0,1430.0,1375.0,38.40572873934304,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A445E0>,1000,7,0.009287768676075,0.6654156927676171,0.7793953253578035,7,1280.0,1350.0,1310.0,1360.0,1370.0,1347.5,22.776083947860748,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A476A0>,1000,7,0.0239371919428137,0.9860925164374869,0.7992194624241853,8,1270.0,1350.0,1350.0,1320.0,1320.0,1335.0,15.0,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A45D80>,1000,8,0.002607307325194,0.6625548092066602,0.2922015682399457,1,1270.0,1320.0,1300.0,1360.0,1400.0,1345.0,38.40572873934304,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC1E140>,1000,5,0.0059976778986555,0.4515215966528467,0.80854732583039,4,1290.0,1390.0,1330.0,1380.0,1400.0,1375.0,26.92582403567252,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC1F7F0>,1000,7,0.0209566730124502,0.6085016042460379,0.7312459332266034,9,1260.0,1330.0,1310.0,1340.0,1310.0,1322.5,12.99038105676658,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206BE80>,1000,7,0.001909328706504,0.444446285545135,0.492685047908349,6,1270.0,1340.0,1300.0,1390.0,1420.0,1362.5,46.02988159880492,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02068B80>,1000,5,0.006384435578522,0.2323488642277346,0.8769825825993478,6,1320.0,1380.0,1290.0,1390.0,1380.0,1360.0,40.62019202317981,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206A440>,1000,8,0.0028024274710614,0.7667722375975727,0.6795548263750435,1,1280.0,1330.0,1320.0,1390.0,1400.0,1360.0,35.35533905932738,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02069DE0>,1000,5,0.0057715156026955,0.4554572898189012,0.8485103321418964,3,1300.0,1390.0,1310.0,1390.0,1420.0,1377.5,40.85033659592048,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206AD70>,1000,4,0.0159268286149762,0.4318294979983594,0.8454548456569249,4,1270.0,1380.0,1310.0,1380.0,1360.0,1357.5,28.613807855649,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C3A00>,1000,6,0.0067192953068114,0.5904864949220429,0.9979136900743664,1,1280.0,1420.0,1330.0,1370.0,1390.0,1377.5,32.69174207655505,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C35B0>,1000,6,0.0061902256191155,0.4981160393376765,0.9669708919852348,1,1290.0,1390.0,1340.0,1370.0,1410.0,1377.5,25.8602010819715,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C3130>,1000,4,0.0135092761988023,0.5737024669333673,0.9897054127071068,3,1310.0,1400.0,1320.0,1370.0,1390.0,1370.0,30.822070014844883,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C28C0>,1000,5,0.0393546179699132,0.2348686234986625,0.8855257560936666,2,1270.0,1360.0,1300.0,1340.0,1350.0,1337.5,22.776083947860748,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206BA30>,1000,6,0.0076616639446821,0.7488646809582296,0.9987931472746464,1,1280.0,1410.0,1310.0,1370.0,1360.0,1362.5,35.61951712193752,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C0940>,1000,5,0.0044662482241807,0.4900680771666343,0.3903378956390938,4,1270.0,1400.0,1280.0,1380.0,1400.0,1365.0,49.749371855331,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C0940>,1000,4,0.053971081207127,0.3943692045991402,0.6258594392115874,2,1330.0,1360.0,1250.0,1330.0,1390.0,1332.5,52.14163403653553,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222D9F0>,1000,6,0.0031417639113887,0.2332262688093411,0.5478436403955166,3,1310.0,1370.0,1300.0,1400.0,1440.0,1377.5,51.1737237261468,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222D090>,1000,6,0.0057982751870937,0.4963240925615067,0.9078201772132588,1,1310.0,1390.0,1300.0,1380.0,1430.0,1375.0,47.16990566028302,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222EBC0>,1000,6,0.0121362032165948,0.5998960859335736,0.995278701079849,1,1300.0,1350.0,1320.0,1340.0,1400.0,1352.5,29.47456530637899,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01EFBD60>,1000,5,0.0013844785409486,0.7076052483966975,0.7501326838427106,2,1260.0,1340.0,1300.0,1390.0,1400.0,1357.5,40.233692348577705,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01EF9ED0>,1000,6,0.0054452744998141,0.515450488394391,0.8504901970776089,2,1310.0,1370.0,1290.0,1400.0,1420.0,1370.0,49.49747468305833,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C3CD0>,1000,7,0.0084039911273849,0.8226185485160202,0.6556298059154262,1,1280.0,1370.0,1330.0,1340.0,1330.0,1342.5,16.393596310755,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222C100>,1000,6,0.0033455764853845,0.2997026529265782,0.929065017821069,3,1310.0,1360.0,1330.0,1360.0,1440.0,1372.5,40.85033659592048,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222D240>,1000,5,0.0015008002111178,0.4073170784560147,0.8417510474268242,2,1290.0,1350.0,1320.0,1390.0,1430.0,1372.5,41.4578098794425,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222C790>,1000,7,0.0050500563108752,0.4783409606948698,0.4186080249765989,1,1320.0,1360.0,1330.0,1390.0,1430.0,1377.5,36.99662146737185,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02205840>,1000,6,0.0072661057374034,0.5460683497386412,0.949907281308756,3,1290.0,1400.0,1330.0,1370.0,1410.0,1377.5,31.12474899497183,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02207460>,1000,3,0.0037910237894415,0.3034747413308269,0.5807923606680392,4,1290.0,1360.0,1290.0,1360.0,1400.0,1352.5,39.607448794387146,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02207160>,1000,6,0.0031815234913625,0.2313827796313518,0.5422403829707098,3,1280.0,1380.0,1320.0,1370.0,1410.0,1370.0,32.4037034920393,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018791E0>,1000,6,0.0018636556724441,0.5927610226949672,0.3444837423292889,5,1270.0,1340.0,1250.0,1350.0,1400.0,1335.0,54.08326913195984,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0224EE90>,1000,5,0.0046086717894455,0.1515434276002778,0.103057810168729,2,1250.0,1370.0,1230.0,1320.0,1390.0,1327.5,61.79603547154137,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0224F670>,1000,6,0.0107274896807405,0.3732846798320374,0.5988151236481809,1,1280.0,1390.0,1330.0,1370.0,1390.0,1370.0,24.49489742783178,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187AF20>,1000,4,0.0033218993807121,0.6338751417130882,0.4979360878647012,2,1280.0,1350.0,1290.0,1380.0,1390.0,1352.5,38.97114317029974,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187AF80>,1000,7,0.0018474508071978,0.7003814710791934,0.7205094140992491,3,1290.0,1320.0,1320.0,1380.0,1420.0,1360.0,42.42640687119285,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878A90>,1000,5,0.0010211792018107,0.5378566385780327,0.4468331796885612,1,1250.0,1340.0,1260.0,1350.0,1390.0,1335.0,47.16990566028302,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187B6D0>,1000,7,0.0072507678649304,0.2874673419291678,0.1889010604448717,4,1260.0,1350.0,1260.0,1340.0,1390.0,1335.0,47.16990566028302,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0224D150>,1000,6,0.0023315222433235,0.0534804289448943,0.6499893595307737,5,1280.0,1350.0,1310.0,1380.0,1430.0,1367.5,43.80353866983808,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02204250>,1000,7,0.0039970540587784,0.1579303568893764,0.9641579779750592,3,1280.0,1340.0,1330.0,1360.0,1390.0,1355.0,22.9128784747792,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878820>,1000,7,0.0050000400494717,0.481179258504209,0.3674460990842924,1,1310.0,1400.0,1300.0,1390.0,1410.0,1375.0,43.87482193696061,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878E50>,1000,7,0.0051211290093971,0.4758351422743655,0.4706495743694179,1,1290.0,1370.0,1290.0,1400.0,1420.0,1370.0,49.49747468305833,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019D5D20>,1000,8,0.0028550972200862,0.5659600069418166,0.427271555797411,2,1270.0,1350.0,1300.0,1380.0,1420.0,1362.5,43.80353866983808,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019D57B0>,1000,6,0.0064443858471594,0.4355880725531893,0.5333779554214736,2,1300.0,1390.0,1310.0,1380.0,1410.0,1372.5,37.66629793329841,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019D67A0>,1000,8,0.0090077541142153,0.62835459390481,0.758305418767877,1,1270.0,1340.0,1290.0,1340.0,1350.0,1330.0,23.45207879911715,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019D7970>,1000,7,0.0034949102141591,0.5216009384575916,0.3107912822101424,1,1290.0,1350.0,1310.0,1380.0,1410.0,1362.5,36.99662146737185,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5DD20>,1000,5,0.0149464568824484,0.3539351339848209,0.8844360501181053,1,1310.0,1370.0,1310.0,1350.0,1360.0,1347.5,22.776083947860748,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5CFD0>,1000,6,0.0111274178331274,0.9987088859313216,0.4109643733673429,2,1300.0,1410.0,1310.0,1380.0,1390.0,1372.5,37.66629793329841,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5E590>,1000,7,0.0065711377350837,0.4125487474169397,0.919522500083163,7,1280.0,1350.0,1340.0,1380.0,1400.0,1367.5,23.84848003542364,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5E8C0>,1000,8,0.0027890264493837,0.6874252929972142,0.2141999015735792,8,1270.0,1340.0,1240.0,1320.0,1380.0,1320.0,50.99019513592785,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5E9E0>,1000,6,0.0079122311251927,0.5658040013200982,0.9586424345404286,3,1290.0,1360.0,1310.0,1350.0,1410.0,1357.5,35.61951712193752,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207A290>,1000,6,0.0047066257723566,0.5447659834897862,0.9447429606805364,3,1310.0,1410.0,1310.0,1390.0,1400.0,1377.5,39.607448794387146,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187B070>,1000,6,0.0056936076010824,0.4663503107390579,0.9686725880928304,6,1300.0,1390.0,1330.0,1390.0,1400.0,1377.5,27.726341266023542,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878D00>,1000,6,0.0074433621029522,0.526726411183029,0.8200563186457754,4,1290.0,1390.0,1320.0,1370.0,1410.0,1372.5,33.44772040064913,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878610>,1000,5,0.0039915686613168,0.6094751604184512,0.910633099339652,3,1270.0,1370.0,1280.0,1400.0,1410.0,1365.0,51.234753829798,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5CFA0>,1000,7,0.0094269431542217,0.5072179705640758,0.8717568067053133,2,1300.0,1360.0,1300.0,1340.0,1390.0,1347.5,32.69174207655505,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5E020>,1000,5,0.007097574685758,0.6647329242969734,0.5016642093477303,1,1300.0,1360.0,1330.0,1390.0,1400.0,1370.0,27.386127875258307,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207ACE0>,1000,6,0.0021116760810134,0.4532831342561199,0.5625971681419573,2,1280.0,1360.0,1290.0,1380.0,1420.0,1362.5,47.10360920354193,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02078E20>,1000,6,0.001611348332482,0.5783415671438958,0.9978599743888408,2,1270.0,1350.0,1300.0,1380.0,1400.0,1357.5,37.66629793329841,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02079E40>,1000,7,0.0059537207132734,0.3856623408261117,0.6882400975641028,1,1310.0,1330.0,1320.0,1350.0,1410.0,1352.5,34.910600109422354,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02079E10>,1000,6,0.0048608350590075,0.5554340204478965,0.9277119683973698,4,1310.0,1380.0,1320.0,1390.0,1420.0,1377.5,36.31459761583488,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207BAC0>,1000,6,0.0042733704583037,0.537268221824791,0.965598264430968,3,1310.0,1360.0,1290.0,1400.0,1430.0,1370.0,52.44044240850758,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02230580>,1000,6,0.005143644233491,0.5021691092412972,0.9423589893883848,3,1310.0,1380.0,1300.0,1390.0,1420.0,1372.5,44.37059837324712,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02233EE0>,1000,5,0.0029173101599052,0.6293820685164868,0.8927123221790306,5,1280.0,1370.0,1300.0,1400.0,1400.0,1367.5,40.85033659592048,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02231D80>,1000,6,0.0036584217583342,0.4238671271481685,0.8565194614114955,3,1270.0,1390.0,1290.0,1380.0,1420.0,1370.0,48.47679857416329,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02230070>,1000,5,0.0024627274694801,0.5923511371646495,0.8147570438607477,2,1270.0,1340.0,1280.0,1390.0,1410.0,1355.0,50.24937810560445,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02078610>,1000,7,0.0986678680321197,0.7906805884545934,0.9307546862891948,4,1240.0,1280.0,1280.0,1340.0,1270.0,1292.5,27.726341266023542,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E020797B0>,1000,6,0.0086987394160447,0.5472137470123473,0.9646796370115498,1,1300.0,1400.0,1330.0,1370.0,1390.0,1372.5,26.80951323690902,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02079BA0>,1000,4,0.0044706830666642,0.1881707774073751,0.6188592438401732,2,1270.0,1380.0,1280.0,1370.0,1420.0,1362.5,51.1737237261468,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02220580>,1000,6,0.0066375281066084,0.3274852710895487,0.9787706473620518,3,1320.0,1360.0,1320.0,1360.0,1420.0,1365.0,35.70714214271425,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02079150>,1000,6,0.0056009966836524,0.457039939778251,0.9814208294612758,6,1300.0,1370.0,1320.0,1400.0,1400.0,1372.5,32.69174207655505,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207B760>,1000,6,0.005567484884325,0.4729401246055416,0.89685208178848,6,1300.0,1380.0,1330.0,1390.0,1410.0,1377.5,29.47456530637899,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02221CC0>,1000,6,0.0031577056646231,0.4697460731715623,0.951025878282875,6,1290.0,1380.0,1300.0,1380.0,1440.0,1375.0,49.749371855331,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0220D240>,1000,6,0.0101576766451102,0.5062270135210238,0.771219845911682,5,1290.0,1390.0,1350.0,1350.0,1400.0,1372.5,22.776083947860748,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02221E10>,1000,5,0.0059824483064983,0.5810735071968907,0.9441020410252078,7,1300.0,1390.0,1320.0,1390.0,1430.0,1382.5,39.607448794387146,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207AB00>,1000,5,0.0124495739793962,0.7294483129785598,0.8291526420729083,7,1300.0,1370.0,1310.0,1370.0,1380.0,1357.5,27.726341266023542,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207A920>,1000,5,0.0079765582269182,0.6136898403064053,0.7901700278689067,9,1310.0,1400.0,1330.0,1400.0,1410.0,1385.0,32.01562118716424,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221D6F0>,1000,5,0.0084431401313784,0.6423708139897524,0.7190593122498791,9,1320.0,1380.0,1300.0,1370.0,1410.0,1365.0,40.311288741492746,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221DED0>,1000,4,0.0171789716065503,0.9229225291883422,0.7869763546714927,10,1320.0,1390.0,1290.0,1350.0,1370.0,1350.0,37.416573867739416,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221E2C0>,1000,5,0.0069158702311126,0.6004654105477718,0.8571738264991856,9,1310.0,1390.0,1300.0,1400.0,1400.0,1372.5,42.0565096031518,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221E590>,1000,5,0.0079175865694187,0.5720906196958037,0.9468568147182423,9,1310.0,1400.0,1290.0,1380.0,1370.0,1360.0,41.83300132670378,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221E980>,1000,5,0.0046626052789886,0.6152594375129168,0.6630889263657612,8,1290.0,1370.0,1310.0,1380.0,1410.0,1367.5,36.31459761583488,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221E050>,1000,5,0.006215272300756,0.5337122249314479,0.5958302913277166,8,1290.0,1380.0,1300.0,1380.0,1430.0,1372.5,46.569840025492894,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221D7B0>,1000,4,0.0011618743842101,0.6712833187617829,0.9144056309345296,1,1260.0,1360.0,1260.0,1340.0,1360.0,1330.0,41.23105625617661,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221EB00>,1000,7,0.0039925629328415,0.1137255192941106,0.8723605362048588,7,1270.0,1350.0,1340.0,1390.0,1380.0,1365.0,20.615528128088304,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221D480>,1000,5,0.0053283235917302,0.5844577519511913,0.4508427210384321,1,1280.0,1400.0,1280.0,1390.0,1430.0,1375.0,56.789083458002736,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221E020>,1000,7,0.0021010091316045,0.4970136879486895,0.5553788483241318,4,1280.0,1350.0,1300.0,1400.0,1440.0,1372.5,52.618912949622974,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221D540>,1000,5,0.0077122137367987,0.5526696995874812,0.5108005045148921,3,1300.0,1370.0,1300.0,1380.0,1400.0,1362.5,37.66629793329841,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0221F400>,1000,5,0.0097287749603406,0.275846194928431,0.4841506900424914,1,1310.0,1400.0,1320.0,1360.0,1410.0,1372.5,35.61951712193752,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0C250>,1000,5,0.0796945481864393,0.7453942447208348,0.6187255599871848,2,1220.0,1310.0,1270.0,1250.0,1280.0,1277.5,21.65063509461097,"['x100', 'x101', 'x102', 'x105', 'x270']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0C250>,1000,3,0.0013066739238053,0.8728673384861885,0.6210592611560484,8,1200.0,1300.0,1170.0,1280.0,1320.0,1267.5,58.0409338312195,"['x100', 'x101', 'x102', 'x105', 'x270']"
