Model,hyperparameters,Features,Accuracy,Precision,Recall,Profit
qda,{},"[102, 4, 3, 101]",0.607,0.6334106728538283,0.5374015748031497,5534.106728538283
mlp,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}","[102, 4, 3, 101]",0.612,0.6271186440677966,0.5826771653543307,5192.647058823529
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 4, 3, 101]",0.617,0.6450116009280742,0.547244094488189,5650.116009280742
nb,{'var_smoothing': 1e-09},"[102, 4, 3, 101]",0.607,0.6448362720403022,0.5039370078740157,5648.362720403023
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[5, 4, 3]",0.588,0.6071428571428571,0.5354330708661418,5471.428571428571
gp,{},"[5, 4, 3]",0.597,0.6143790849673203,0.5551181102362205,5543.790849673203
qda,{},"[5, 4, 3]",0.59,0.6256410256410256,0.4803149606299212,5656.410256410257
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[5, 4, 3]",0.575,0.5985748218527316,0.4960629921259842,5385.748218527316
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[102, 8, 6, 3]",0.589,0.6321525885558583,0.4566929133858268,5521.5258855585835
ada,"{'algorithm': 'SAMME', 'learning_rate': 0.5, 'n_estimators': 200}","[102, 8, 6, 3]",0.59,0.6376404494382022,0.4468503937007874,5558.695652173914
xgb,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}","[102, 8, 6, 3]",0.597,0.6530612244897959,0.4409448818897638,5730.612244897959
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[102, 8, 6, 3]",0.509,0.5300353356890459,0.2952755905511811,4419.512195121952
nb,{'var_smoothing': 1e-09},"[8, 102, 105, 2]",0.632,0.6794871794871795,0.5216535433070866,5994.871794871795
qda,{},"[8, 102, 105, 2]",0.646,0.6934673366834171,0.5433070866141733,6134.673366834171
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[8, 102, 105, 2]",0.634,0.6606334841628959,0.5748031496062992,5806.334841628959
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[8, 102, 105, 2]",0.643,0.6637744034707158,0.6023622047244095,5837.744034707158
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[2, 101, 4]",0.502,0.5462962962962963,0.1161417322834645,4746.820809248555
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10}","[2, 101, 4]",0.594,0.6294416243654822,0.4881889763779528,4960.253699788584
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}","[2, 101, 4]",0.597,0.6096033402922756,0.5748031496062992,5451.502145922747
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[2, 101, 4]",0.579,0.5964523281596452,0.5295275590551181,5364.523281596452
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[3, 104, 101]",0.599,0.6419098143236074,0.4763779527559055,5819.098143236074
qda,{},"[3, 104, 101]",0.604,0.6414141414141414,0.5,5814.141414141414
gp,{},"[3, 104, 101]",0.61,0.6322869955156951,0.5551181102362205,5722.869955156951
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}","[3, 104, 101]",0.602,0.6410256410256411,0.4921259842519685,5104.8458149779735
nb,{'var_smoothing': 1e-09},"[104, 3]",0.586,0.6263440860215054,0.4586614173228346,5863.440860215053
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5}","[104, 3]",0.588,0.6224489795918368,0.4803149606299212,5000.41067761807
knn,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}","[104, 3]",0.516,0.5251046025104602,0.4940944881889764,4916.205533596838
mlp,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}","[104, 3]",0.587,0.6178660049627791,0.4901574803149606,5384.499054820416
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}","[104, 3, 5]",0.585,0.6049661399548533,0.5275590551181102,5449.661399548532
knn,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}","[104, 3, 5]",0.55,0.5609243697478992,0.5255905511811023,5025.0
ert,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10}","[104, 3, 5]",0.574,0.5966981132075472,0.4980314960629921,4945.851528384279
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[104, 3, 5]",0.521,0.5587044534412956,0.2716535433070866,4569.712793733682
nb,{'var_smoothing': 1e-09},"[8, 102, 5, 3]",0.582,0.6229508196721312,0.4488188976377952,5429.508196721312
lr,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}","[8, 102, 5, 3]",0.496,0.5049751243781094,0.3996062992125984,4396.07843137255
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}","[8, 102, 5, 3]",0.582,0.5760135135135135,0.6712598425196851,5856.976744186046
gp,{},"[8, 102, 5, 3]",0.635,0.6666666666666666,0.562992125984252,5866.666666666666
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[105, 102, 3, 2, 103, 100, 8]",0.663,0.6854663774403471,0.6220472440944882,5454.6637744034715
xgb,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}","[105, 102, 3, 2, 103, 100, 8]",0.662,0.6770833333333334,0.639763779527559,5370.833333333334
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[105, 102, 3, 2, 103, 100, 8]",0.516,0.5337078651685393,0.374015748031496,3891.3752913752905
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 102, 3, 2, 103, 100, 8]",0.677,0.6810176125244618,0.6850393700787402,5410.176125244618
nb,{'var_smoothing': 1e-09},"[3, 102]",0.595,0.6380697050938338,0.468503937007874,5980.697050938337
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[3, 102]",0.59,0.6282722513089005,0.4724409448818897,5882.722513089006
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5}","[3, 102]",0.572,0.6015228426395939,0.4665354330708661,4952.1126760563375
qda,{},"[3, 102]",0.588,0.6276595744680851,0.4645669291338583,5876.595744680851
qda,{},"[6, 8]",0.571,0.6118980169971672,0.4251968503937008,5718.980169971672
ada,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 200}","[6, 8]",0.551,0.649746192893401,0.2519685039370078,5734.751773049646
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}","[6, 8]",0.561,0.6088328075709779,0.3799212598425197,5688.328075709779
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[6, 8]",0.584,0.6329479768786127,0.4311023622047244,5929.479768786127
xgb,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}","[8, 101, 100, 105]",0.651,0.6802721088435374,0.5905511811023622,6002.7210884353735
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[8, 101, 100, 105]",0.671,0.6808080808080809,0.6633858267716536,6008.080808080808
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}","[8, 101, 100, 105]",0.673,0.7024608501118568,0.6181102362204725,6049.8942917547565
nb,{'var_smoothing': 1e-09},"[8, 101, 100, 105]",0.658,0.7064676616915423,0.5590551181102362,6264.6766169154225
nb,{'var_smoothing': 1e-09},"[6, 103]",0.58,0.6257142857142857,0.4311023622047244,5857.142857142857
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[6, 103]",0.59,0.6376404494382022,0.4468503937007874,5976.404494382022
knn,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}","[6, 103]",0.522,0.5321888412017167,0.4881889763779528,4840.083507306889
ada,"{'algorithm': 'SAMME', 'learning_rate': 1.0, 'n_estimators': 200}","[6, 103]",0.57,0.6065573770491803,0.437007874015748,5698.901098901099
nb,{'var_smoothing': 1e-09},"[101, 8, 104, 4, 105, 2, 5]",0.623,0.6728232189973615,0.5019685039370079,5328.232189973615
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[101, 8, 104, 4, 105, 2, 5]",0.535,0.5653495440729484,0.3661417322834646,3767.785234899329
gp,{},"[101, 8, 104, 4, 105, 2, 5]",0.658,0.6693877551020408,0.6456692913385826,5293.877551020409
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 8, 104, 4, 105, 2, 5]",0.655,0.6613861386138614,0.65748031496063,5213.861386138614
nb,{'var_smoothing': 1e-09},"[103, 8, 6, 5]",0.593,0.6463768115942029,0.4389763779527559,5663.768115942029
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}","[103, 8, 6, 5]",0.59,0.6118721461187214,0.5275590551181102,5581.4180929095355
knn,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}","[103, 8, 6, 5]",0.55,0.5677570093457944,0.4783464566929133,4883.297180043384
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}","[103, 8, 6, 5]",0.582,0.6256983240223464,0.4409448818897638,5456.983240223463
xgb,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}","[8, 3, 105, 5, 2, 101, 102]",0.64,0.6615720524017468,0.5964566929133859,5215.720524017468
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[8, 3, 105, 5, 2, 101, 102]",0.68,0.6942148760330579,0.6614173228346457,5542.148760330579
ada,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}","[8, 3, 105, 5, 2, 101, 102]",0.632,0.6515151515151515,0.59251968503937,5087.068965517241
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[8, 3, 105, 5, 2, 101, 102]",0.631,0.6561797752808989,0.5748031496062992,5161.797752808989
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}","[8, 5, 101]",0.584,0.5867924528301887,0.6122047244094488,5941.554959785522
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[8, 5, 101]",0.513,0.5981308411214953,0.1259842519685039,5275.486381322958
nb,{'var_smoothing': 1e-09},"[8, 5, 101]",0.587,0.6338028169014085,0.4429133858267716,5738.028169014085
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}","[8, 5, 101]",0.592,0.6336898395721925,0.4665354330708661,4769.127516778523
nb,{'var_smoothing': 1e-09},"[103, 8, 4, 5, 101, 105]",0.623,0.6658227848101266,0.5177165354330708,5458.227848101265
gp,{},"[103, 8, 4, 5, 101, 105]",0.671,0.6892177589852009,0.6417322834645669,5692.177589852009
knn,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}","[103, 8, 4, 5, 101, 105]",0.605,0.6395061728395062,0.5098425196850394,4790.990990990991
ert,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2}","[103, 8, 4, 5, 101, 105]",0.647,0.6624737945492662,0.6220472440944882,5176.146788990825
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5}","[4, 3]",0.568,0.5871559633027523,0.5039370078740157,4930.578512396694
qda,{},"[4, 3]",0.573,0.6062992125984252,0.4547244094488189,5662.992125984252
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[4, 3]",0.577,0.5981524249422633,0.5098425196850394,5581.524249422633
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}","[4, 3]",0.584,0.6,0.5433070866141733,5600.0
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[105, 3, 101, 104, 100]",0.53,0.5533707865168539,0.3877952755905511,4248.2269503546095
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[105, 3, 101, 104, 100]",0.673,0.6954643628509719,0.6338582677165354,5954.643628509719
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5}","[105, 3, 101, 104, 100]",0.663,0.6930022573363431,0.6043307086614174,5257.796257796258
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 3, 101, 104, 100]",0.675,0.6833667334669339,0.6712598425196851,5833.667334669339
mlp,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}","[5, 3, 101, 102]",0.628,0.640495867768595,0.610236220472441,5692.027334851937
gp,{},"[5, 3, 101, 102]",0.617,0.6310272536687631,0.59251968503937,5510.272536687631
qda,{},"[5, 3, 101, 102]",0.625,0.6633906633906634,0.531496062992126,5833.906633906634
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[5, 3, 101, 102]",0.617,0.6450116009280742,0.547244094488189,5650.116009280742
nb,{'var_smoothing': 1e-09},"[105, 102, 100]",0.65,0.6889952153110048,0.5669291338582677,6289.952153110048
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[105, 102, 100]",0.543,0.5830618892508144,0.3523622047244094,4700.0
knn,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}","[105, 102, 100]",0.654,0.6738197424892703,0.6181102362204725,5692.372881355932
mlp,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}","[105, 102, 100]",0.654,0.6659836065573771,0.639763779527559,6131.601731601731
gp,{},"[101, 103, 100, 104, 5, 3]",0.65,0.6639004149377593,0.6299212598425197,5439.004149377593
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}","[101, 103, 100, 104, 5, 3]",0.653,0.680089485458613,0.5984251968503937,5600.89485458613
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[101, 103, 100, 104, 5, 3]",0.66,0.6883408071748879,0.6043307086614174,5683.408071748879
knn,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}","[101, 103, 100, 104, 5, 3]",0.603,0.6324582338902148,0.5216535433070866,4710.112359550562
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 6, 2, 102, 103, 5, 101]",0.679,0.6993603411513859,0.6456692913385826,5593.603411513859
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[100, 6, 2, 102, 103, 5, 101]",0.66,0.6794871794871795,0.6259842519685039,5394.871794871795
ada,"{'algorithm': 'SAMME', 'learning_rate': 1.0, 'n_estimators': 200}","[100, 6, 2, 102, 103, 5, 101]",0.643,0.6576200417536534,0.6200787401574803,5238.297872340425
nb,{'var_smoothing': 1e-09},"[100, 6, 2, 102, 103, 5, 101]",0.665,0.702576112412178,0.5905511811023622,5625.76112412178
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 4, 102, 2, 100, 103, 101]",0.694,0.701195219123506,0.6929133858267716,5611.95219123506
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[104, 4, 102, 2, 100, 103, 101]",0.528,0.5625,0.3188976377952756,3807.3732718894007
qda,{},"[104, 4, 102, 2, 100, 103, 101]",0.722,0.7457264957264957,0.687007874015748,6057.264957264957
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[104, 4, 102, 2, 100, 103, 101]",0.665,0.6754563894523327,0.655511811023622,5354.563894523327
nb,{'var_smoothing': 1e-09},"[6, 8, 104, 101, 3, 102, 100]",0.642,0.6847290640394089,0.547244094488189,5447.290640394089
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[6, 8, 104, 101, 3, 102, 100]",0.672,0.6814516129032258,0.6653543307086615,5414.516129032258
xgb,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}","[6, 8, 104, 101, 3, 102, 100]",0.662,0.6763485477178424,0.6417322834645669,5363.485477178424
ada,"{'algorithm': 'SAMME.R', 'learning_rate': 0.5, 'n_estimators': 200}","[6, 8, 104, 101, 3, 102, 100]",0.651,0.6724511930585684,0.610236220472441,5037.5
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}","[103, 102, 8, 2]",0.612,0.6376146788990825,0.547244094488189,5576.146788990825
ert,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10}","[103, 102, 8, 2]",0.607,0.6286353467561522,0.5531496062992126,4895.364238410596
ada,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 200}","[103, 102, 8, 2]",0.607,0.6303854875283447,0.547244094488189,5484.403669724771
gp,{},"[103, 102, 8, 2]",0.622,0.6490825688073395,0.5570866141732284,5690.825688073395
ada,"{'algorithm': 'SAMME', 'learning_rate': 1.0, 'n_estimators': 200}","[4, 2, 6, 102, 101, 5, 100]",0.636,0.6565217391304348,0.594488188976378,4953.944562899787
gp,{},"[4, 2, 6, 102, 101, 5, 100]",0.666,0.6858974358974359,0.6318897637795275,5458.974358974359
qda,{},"[4, 2, 6, 102, 101, 5, 100]",0.697,0.7293064876957495,0.6417322834645669,5893.064876957495
xgb,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}","[4, 2, 6, 102, 101, 5, 100]",0.648,0.6733333333333333,0.5964566929133859,5333.333333333333
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[4, 6, 3, 2, 104, 100, 101]",0.517,0.5506072874493927,0.2677165354330709,3733.9285714285706
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}","[4, 6, 3, 2, 104, 100, 101]",0.651,0.6485981308411215,0.6830708661417323,5354.563894523327
xgb,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}","[4, 6, 3, 2, 104, 100, 101]",0.646,0.665948275862069,0.6082677165354331,5259.482758620689
qda,{},"[4, 6, 3, 2, 104, 100, 101]",0.682,0.7074235807860262,0.6377952755905512,5674.235807860262
gp,{},"[104, 8, 4, 105, 3]",0.659,0.6680080482897385,0.6535433070866141,5680.080482897385
ert,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2}","[104, 8, 4, 105, 3]",0.649,0.6592292089249493,0.639763779527559,5184.486373165619
nb,{'var_smoothing': 1e-09},"[104, 8, 4, 105, 3]",0.61,0.6505102040816326,0.5019685039370079,5505.102040816326
qda,{},"[104, 8, 4, 105, 3]",0.65,0.6779279279279279,0.59251968503937,5779.279279279279
ert,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10}","[6, 3, 104, 4, 102, 105]",0.644,0.6800947867298578,0.5649606299212598,5353.191489361701
qda,{},"[6, 3, 104, 4, 102, 105]",0.664,0.6894273127753304,0.6161417322834646,5694.273127753304
knn,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}","[6, 3, 104, 4, 102, 105]",0.618,0.65,0.5374015748031497,5217.233560090703
lr,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}","[6, 3, 104, 4, 102, 105]",0.527,0.5454545454545454,0.4133858267716535,4039.2344497607655
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}","[3, 103, 104, 4]",0.617,0.625250501002004,0.6141732283464567,5637.5
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[3, 103, 104, 4]",0.597,0.6296296296296297,0.5019685039370079,5496.2962962962965
qda,{},"[3, 103, 104, 4]",0.634,0.663594470046083,0.5669291338582677,5835.94470046083
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}","[3, 103, 104, 4]",0.619,0.6459770114942529,0.5531496062992126,5659.770114942529
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5}","[5, 102, 8, 2, 104, 103]",0.623,0.6617283950617284,0.5275590551181102,5114.6551724137935
knn,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}","[5, 102, 8, 2, 104, 103]",0.569,0.5914489311163895,0.4901574803149606,4546.102449888642
